id,number,title,state,created_at,updated_at,closed_at,repository,user,assignee,organization
644378237,5,Single pass over data with hash join,closed,2020-06-24T07:14:37.000000,2020-06-25T13:53:10.000000,2020-06-25T13:53:10.000000,polars,ritchie46,,pola-rs
644376383,1,slice method on df,closed,2020-06-24T07:11:18.000000,2020-06-25T13:53:31.000000,2020-06-25T13:53:31.000000,polars,ritchie46,,pola-rs
644376935,3,Create RecordBatches from DF,closed,2020-06-24T07:12:16.000000,2020-06-27T07:21:21.000000,2020-06-27T07:20:15.000000,polars,ritchie46,,pola-rs
644377587,4,"If single chunk, create an iterator with a single bounds check.",closed,2020-06-24T07:13:24.000000,2020-06-28T08:24:48.000000,2020-06-28T08:24:48.000000,polars,ritchie46,,pola-rs
646897141,8,Use prettytable,closed,2020-06-28T11:17:23.000000,2020-06-29T08:52:06.000000,2020-06-29T08:52:06.000000,polars,ritchie46,,pola-rs
647236504,12,Create a Selection trait,closed,2020-06-29T08:54:23.000000,2020-06-29T14:04:11.000000,2020-06-29T14:04:11.000000,polars,ritchie46,,pola-rs
644376664,2,"head and tail methods on ChunkedArray, Series and DF",closed,2020-06-24T07:11:49.000000,2020-06-29T20:08:43.000000,2020-06-29T20:08:43.000000,polars,ritchie46,,pola-rs
647235227,10,unique method on series,closed,2020-06-29T08:52:32.000000,2020-07-02T12:26:20.000000,2020-07-02T12:26:20.000000,polars,ritchie46,,pola-rs
644380061,6,implement TakeOptions,closed,2020-06-24T07:17:45.000000,2020-07-02T13:56:45.000000,2020-07-02T13:56:45.000000,polars,ritchie46,,pola-rs
647235373,11,value_counts method on series,closed,2020-06-29T08:52:44.000000,2020-07-03T17:57:11.000000,2020-07-03T17:57:11.000000,polars,ritchie46,,pola-rs
650716695,15,ArgUnique,closed,2020-07-03T18:01:56.000000,2020-07-03T18:29:26.000000,2020-07-03T18:29:26.000000,polars,ritchie46,,pola-rs
647632598,13,outer join,closed,2020-06-29T20:09:27.000000,2020-07-05T09:48:57.000000,2020-07-05T09:48:57.000000,polars,ritchie46,,pola-rs
651024299,19,New series from iterator with known capacity,closed,2020-07-05T08:14:08.000000,2020-07-06T15:37:33.000000,2020-07-06T15:37:33.000000,polars,ritchie46,,pola-rs
651785945,21,parallel outer join,closed,2020-07-06T20:02:06.000000,2020-07-08T14:43:30.000000,2020-07-08T14:43:30.000000,polars,ritchie46,,pola-rs
654092065,23,outer join. hash shorter relation,closed,2020-07-09T14:10:34.000000,2020-07-10T13:16:54.000000,2020-07-10T13:16:54.000000,polars,ritchie46,,pola-rs
651785040,20,use xxHash for strings in hash join/ groupbt,closed,2020-07-06T20:00:19.000000,2020-07-10T13:19:01.000000,2020-07-10T13:19:01.000000,polars,ritchie46,,pola-rs
657215018,26,Series cast,closed,2020-07-15T09:44:24.000000,2020-07-15T17:49:54.000000,2020-07-15T17:49:54.000000,polars,ritchie46,,pola-rs
657257820,27,Sort by strings,closed,2020-07-15T10:54:33.000000,2020-07-16T06:21:17.000000,2020-07-16T06:21:17.000000,polars,ritchie46,,pola-rs
659173285,29,create nullable in dataframe [python],closed,2020-07-17T11:27:27.000000,2020-07-17T13:14:11.000000,2020-07-17T13:14:11.000000,polars,ritchie46,,pola-rs
659247926,30,[python] arithmetic for temporal data types,closed,2020-07-17T13:14:36.000000,2020-07-21T05:39:14.000000,2020-07-21T05:39:14.000000,polars,ritchie46,,pola-rs
646896635,7,csv headers missing,closed,2020-06-28T11:14:13.000000,2020-07-29T09:25:01.000000,2020-07-29T09:25:01.000000,polars,ritchie46,,pola-rs
658976633,28,Provide access to null bitmap,closed,2020-07-17T07:46:46.000000,2020-07-29T12:33:10.000000,2020-07-29T12:33:10.000000,polars,ritchie46,,pola-rs
657174519,25,reverse sort,closed,2020-07-15T08:43:21.000000,2020-07-29T13:22:09.000000,2020-07-29T13:22:09.000000,polars,ritchie46,,pola-rs
656670632,24,Test comparison on arrow sliced array,closed,2020-07-14T14:46:30.000000,2020-07-29T13:22:09.000000,2020-07-29T13:22:08.000000,polars,ritchie46,,pola-rs
668002115,33,reversed method,closed,2020-07-29T17:09:17.000000,2020-07-30T12:53:23.000000,2020-07-30T12:53:23.000000,polars,ritchie46,,pola-rs
647633639,14,Docker image with rust Notebook + Polars,closed,2020-06-29T20:11:18.000000,2020-07-30T12:55:19.000000,2020-07-30T12:55:19.000000,polars,ritchie46,,pola-rs
670945820,39,Use aligned vec for apply method,closed,2020-08-01T15:06:51.000000,2020-08-01T15:51:48.000000,2020-08-01T15:51:48.000000,polars,ritchie46,,pola-rs
670084695,37,Make Utf8 nullable,closed,2020-07-31T18:18:07.000000,2020-08-03T07:04:39.000000,2020-08-02T08:05:24.000000,polars,ritchie46,,pola-rs
661958715,31,[rust]|[python] add power/ log arithmetic,closed,2020-07-20T15:33:07.000000,2020-08-03T07:13:44.000000,2020-08-03T07:13:44.000000,polars,ritchie46,,pola-rs
671994886,40,Add all rust native numeric types,closed,2020-08-03T11:04:37.000000,2020-08-03T16:27:26.000000,2020-08-03T16:27:25.000000,polars,ritchie46,,pola-rs
668481922,34,DoubleEndedIterator for ChunkedArray,closed,2020-07-30T08:20:56.000000,2020-08-05T13:30:50.000000,2020-08-05T12:11:52.000000,polars,ritchie46,,pola-rs
674045848,45,temporal formatting.,closed,2020-08-06T06:11:34.000000,2020-08-06T09:07:31.000000,2020-08-06T09:07:31.000000,polars,ritchie46,,pola-rs
674156616,46,add all arrow temporal types,closed,2020-08-06T09:08:21.000000,2020-08-07T14:22:23.000000,2020-08-07T09:35:39.000000,polars,ritchie46,,pola-rs
675436596,48,static dispatch for intoiterator chunkedarray,closed,2020-08-08T05:44:00.000000,2020-08-09T13:37:45.000000,2020-08-09T13:37:03.000000,polars,ritchie46,,pola-rs
669893768,36,Support for reading Feather format.,closed,2020-07-31T14:47:32.000000,2020-08-09T18:59:28.000000,2020-08-09T18:59:28.000000,polars,ghuls,,pola-rs
675755636,50,Arrow IPC,closed,2020-08-09T19:15:53.000000,2020-08-09T19:15:57.000000,2020-08-09T19:15:57.000000,polars,ritchie46,,pola-rs
650724532,16,Dataframe Union.,closed,2020-07-03T18:30:18.000000,2020-08-12T09:12:28.000000,2020-08-12T09:12:28.000000,polars,ritchie46,,pola-rs
679349373,51,buffered serialization,closed,2020-08-14T19:06:23.000000,2020-08-17T15:36:23.000000,2020-08-17T15:35:27.000000,polars,ritchie46,,pola-rs
668821024,35,[Docs] Series documentation to Series enum,closed,2020-07-30T14:50:41.000000,2020-08-17T15:37:30.000000,2020-08-17T15:37:07.000000,polars,ritchie46,,pola-rs
675701176,49,static dispatch for takerandom,closed,2020-08-09T13:35:51.000000,2020-08-22T07:35:25.000000,2020-08-22T07:35:25.000000,polars,ritchie46,,pola-rs
681899021,56,shift,closed,2020-08-19T14:44:40.000000,2020-08-22T14:27:37.000000,2020-08-22T14:27:37.000000,polars,ritchie46,,pola-rs
682749477,58,LargeListBuilder for Utf8,closed,2020-08-20T14:10:29.000000,2020-08-22T14:29:08.000000,2020-08-22T14:29:08.000000,polars,ritchie46,,pola-rs
681897435,55,Fill Nones,closed,2020-08-19T14:42:37.000000,2020-08-23T10:59:32.000000,2020-08-23T10:59:32.000000,polars,ritchie46,,pola-rs
687136114,64,arithmetic on &mut Series,closed,2020-08-27T10:38:32.000000,2020-08-27T12:06:19.000000,2020-08-27T12:06:19.000000,polars,ritchie46,,pola-rs
688663911,66,where + operation,closed,2020-08-30T06:30:06.000000,2020-08-31T12:31:55.000000,2020-08-31T12:31:55.000000,polars,ritchie46,,pola-rs
688142172,65,Groupby select multiple columns,closed,2020-08-28T15:07:17.000000,2020-09-02T11:06:18.000000,2020-09-02T11:06:18.000000,polars,ritchie46,,pola-rs
686979269,62,pivot operation,closed,2020-08-27T06:27:28.000000,2020-09-04T08:21:11.000000,2020-09-04T08:21:11.000000,polars,ritchie46,,pola-rs
694157031,70,fmt largelist for Series,closed,2020-09-05T19:50:44.000000,2020-09-06T10:39:28.000000,2020-09-06T10:39:28.000000,polars,ritchie46,,pola-rs
